Entity,Data_Type,Births_Sum,Births_Count,Births_Mean,Births_Min,Births_Max,Births_Var,Births_Std,Births_Mode,Births_Kurt,Deaths_Sum,Deaths_Count,Deaths_Mean,Deaths_Min,Deaths_Max,Deaths_Var,Deaths_Std,Deaths_Mode,Deaths_Kurt
Cote d'Ivoire,Projection,113285442,77,1471239.5064935065,1007981,1717669,46241077482.99002,215037.38624478772,No Mode,-0.6837998924591195,41827491,77,543214.1688311688,242928,952003,44703424098.37895,211431.8426783888,No Mode,-1.0741739864416462
Croatia,Estimate,4402959,74,59499.44594594595,31446,97115,333903228.5244355,18273.019140920187,No Mode,-0.968435557263351,3621291,74,48936.36486486487,40079,57806,29876395.659570444,5465.93044774359,No Mode,-1.355531565614197
Croatia,Projection,1757985,77,22830.974025974025,15534,31379,23490421.84142176,4846.691845106491,No Mode,-1.2890454553376753,3474127,77,45118.53246753247,33114,54208,47221443.98906354,6871.786084349798,No Mode,-1.3507624436431578
Cuba,Estimate,12878771,74,174037.44594594595,95802,276269,2829962938.661422,53197.395976320324,No Mode,-0.8481483651822876,5730416,74,77438.05405405405,59969,169657,374135229.96964085,19342.575577457126,No Mode,5.924799542080454
Cuba,Projection,4736339,77,61510.896103896106,38415,94650,285846487.568011,16906.99522588242,No Mode,-1.0610481667518852,9499882,77,123375.09090909091,94397,144831,210808420.21530995,14519.243100634067,No Mode,-0.9578471373380206
Curacao,Estimate,227219,74,3070.527027027027,1377,4591,920252.581451315,959.2979628099473,3219,-1.085729879882214,87395,74,1181.0135135135135,988,1934,51514.013513513426,226.96698771740665,989,2.1984280378622825
Curacao,Projection,80973,77,1051.5974025974026,739,1402,49149.79630895409,221.69753338491182,1399,-1.3354881629926034,171853,77,2231.8571428571427,1876,2370,15500.729323308262,124.50192497832418,2246,0.5777581872167832
Cyprus,Estimate,1019626,74,13778.72972972973,11062,15741,1560847.9533506092,1249.3390065753206,13390,-0.9471863993980025,485520,74,6561.081081081081,5541,11549,1223731.664568678,1106.2240571279754,6179,6.904095950478785
Cyprus,Projection,887022,77,11519.766233766233,9913,14285,958514.2077922091,979.037388352564,10607,-0.1822162045879132,1214302,77,15770.155844155845,9532,20398,11385886.73855092,3374.2979623250403,No Mode,-1.101341401252287
Czechia,Estimate,9758646,74,131873.5945945946,89098,195298,884455806.2717501,29739.801718769915,No Mode,-0.6898581911190664,8443521,74,114101.63513513513,93356,140176,146936250.86504996,12121.72639787955,No Mode,-0.9713831731057101
Czechia,Projection,6171312,77,80146.90909090909,69646,92616,46995982.61004774,6855.361595864054,No Mode,-0.8374341022620309,9346496,77,121383.06493506493,96947,135610,177451628.06151724,13321.097104274753,No Mode,-0.9556557495317755
Democratic Republic of Congo,Estimate,136363770,74,1842753.6486486488,563665,4369683,1225689863422.1765,1107108.7857216997,No Mode,-0.6052149964792122,44035386,74,595072.7837837838,326789,929997,37344329336.55538,193246.80938260115,No Mode,-1.4542617429142335
Democratic Republic of Congo,Projection,487212034,77,6327429.012987013,4467740,7006946,587948641756.935,766778.0915994764,No Mode,-0.30488338484406485,158641548,77,2060279.844155844,920547,3917828,783108580504.2379,884934.2238292278,No Mode,-0.9071644196176072
Denmark,Estimate,4942969,74,66796.87837837837,50873,88058,76977932.40966277,8773.70687962977,No Mode,-0.6054324169194918,3879891,74,52430.95945945946,37944,62973,44778923.79285447,6691.7055966961425,No Mode,-0.5289614578872133
Denmark,Projection,4272545,77,55487.5974025974,51392,60010,7035862.296308888,2652.519989803826,No Mode,-1.1410800264564003,5229884,77,67920.57142857143,57265,71523,9445556.932330783,3073.3624798143783,67513,3.0332963251886733
Djibouti,Estimate,1163146,74,15718.18918918919,2821,26584,77488130.84042947,8802.734282052905,No Mode,-1.6672911116798137,392091,74,5298.527027027027,1410,9336,7721996.6088485755,2778.8480722861723,No Mode,-1.6727007131532998
